local_path	css_width
images/upstate/Upstate_04-f7dea1.jpg	680
images/upstate/Upstate_05-f2507b.jpg	680
images/upstate/Upstate_06-288969.jpg	680
images/upstate/Upstate_07-449069.jpg	680
images/upstate/Upstate_Images_2-ad1f62.gif	680
images/upstate/Upstate_Packaing-c969da.jpg	1490
images/wills/Wills_02-8a7310.jpg	680
images/wills/Wills_03-291c95.jpg	680
images/wills/Wills_04-f9d76c.jpg	680
images/wills/Wills_05-5f92d1.jpg	1490
images/wills/Wills_06-02d231.jpg	680
images/wills/Wills_Landing_Page-fa633d.jpg	1278
